xr_person_id,zh_state,zh_district,xh_urban_rural,zh_urban_rural2,zh_member_number,xr_age_final,xr_gender_final,xr_has_aadhaar,zh_state_district,zr_elderly,zh_homeless,zh_laborer,zh_migrant_laborer,zr_third_gender,zh_secc_classification,xh_mem_weight,zh_hh_num_members,zh_caste,zh_religion,xh_enroled_in_school_flag,xh_school_admission_aadhaar_mandatory,xh_school_admission_aadhaar_of_child,xh_school_admission_aadhaar_of_father,xh_school_admission_aadhaar_of_guardian,xh_school_admission_aadhaar_of_mother,xh_school_admission_denied_due_to_aadhaar,xh_school_admission_produced_aadhaar_flag,xh_school_has_mdm_program_flag,xh_school_mdm_denied_due_to_aadhaar,xh_want_to_enrol_in_school,zh_denial_not_enroled_in_school_reason,zh_school_enrolment_date,zr_age_bucket1,zr_age_bucket2,zr_age_bucket3,zr_age_bucket4
P0104271474,Rajasthan,Udaipur,Urban (S),Urban,4,12,Female,Yes,Rajasthan_Udaipur,No,No,Yes,No,No,General,18439.9465389816,5,OBC,Hindu,Yes,Mandatory,Child,,,,No,Yes,No,,,,,6 to 17 years old,6 to 17 years old,Children,Children
P0104271474,Rajasthan,Udaipur,Urban (S),Urban,5,10,Male,Yes,Rajasthan_Udaipur,No,No,Yes,No,No,General,18439.9465389816,5,OBC,Hindu,Yes,Mandatory,Child,,,,No,Yes,Yes,Yes,,,,6 to 17 years old,6 to 17 years old,Children,Children
P0104271491,Karnataka,Hassan,Rural (S),Rural,1,45,Male,Yes,Karnataka_Hassan,No,No,Yes,No,No,General,64851.8129671027,4,General,Hindu,,,,,,,,,,,,,,41 to 55 years old,18 to 70 years old,Adults,Adults
P0104271491,Karnataka,Hassan,Rural (S),Rural,2,38,Female,Yes,Karnataka_Hassan,No,No,Yes,No,No,General,64851.8129671027,4,General,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104271491,Karnataka,Hassan,Rural (S),Rural,3,18,Male,Yes,Karnataka_Hassan,No,No,Yes,No,No,General,64851.8129671027,4,General,Hindu,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0104271491,Karnataka,Hassan,Rural (S),Rural,4,15,Male,Yes,Karnataka_Hassan,No,No,Yes,No,No,General,76289.4525914655,4,General,Hindu,No,,,,,,,,,,Don't know,,,6 to 17 years old,6 to 17 years old,Children,Children
P0104271621,Tamil Nadu,Salem,Rural (L),Rural,1,36,Female,Yes,Tamil Nadu_Salem,No,No,Yes,No,No,Automatically excluded,64249.7594632898,4,General,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104271621,Tamil Nadu,Salem,Rural (L),Rural,2,48,Male,Yes,Tamil Nadu_Salem,No,No,Yes,No,No,Automatically excluded,64249.7594632898,4,General,Hindu,,,,,,,,,,,,,,41 to 55 years old,18 to 70 years old,Adults,Adults
P0104271621,Tamil Nadu,Salem,Rural (L),Rural,3,18,Female,Yes,Tamil Nadu_Salem,No,No,Yes,No,No,Automatically excluded,64249.7594632898,4,General,Hindu,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0104271621,Tamil Nadu,Salem,Rural (L),Rural,4,8,Male,Yes,Tamil Nadu_Salem,No,No,Yes,No,No,Automatically excluded,79825.0486719752,4,General,Hindu,Yes,Optional,Child,,,,No,Yes,No,,,,2015-06-15,6 to 17 years old,6 to 17 years old,Children,Children
P0104272403,Madhya Pradesh,W.Nimar,Rural (S),Rural,1,28,Third Gender,Yes,Madhya Pradesh_W.Nimar,No,No,No,No,Yes,General,49275.210898293,1,Non-vulnerable ST,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104272404,Madhya Pradesh,W.Nimar,Urban (S),Urban,1,34,Third Gender,No,Madhya Pradesh_W.Nimar,No,No,No,No,Yes,Automatically excluded,49275.210898293,1,Non-vulnerable ST,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104272405,Madhya Pradesh,W.Nimar,Urban (S),Urban,1,24,Third Gender,No,Madhya Pradesh_W.Nimar,No,No,No,No,Yes,General,49275.210898293,2,Non-vulnerable ST,Hindu,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0104272405,Madhya Pradesh,W.Nimar,Urban (S),Urban,2,38,Third Gender,No,Madhya Pradesh_W.Nimar,No,No,No,No,Yes,General,49275.210898293,2,Non-vulnerable ST,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104272406,Madhya Pradesh,W.Nimar,Rural (S),Rural,1,27,Male,Yes,Madhya Pradesh_W.Nimar,No,No,Yes,No,No,General,49275.210898293,3,Non-vulnerable ST,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104272406,Madhya Pradesh,W.Nimar,Rural (S),Rural,2,23,Female,Yes,Madhya Pradesh_W.Nimar,No,No,Yes,No,No,General,49275.210898293,3,Non-vulnerable ST,Hindu,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0104272406,Madhya Pradesh,W.Nimar,Rural (S),Rural,3,3,Male,Yes,Madhya Pradesh_W.Nimar,No,No,Yes,No,No,General,59207.9965270765,3,Non-vulnerable ST,Hindu,No,,,,,,,,,,No,,,0 to 5 years old,0 to 5 years old,Children,Children
P0104272430,Gujarat,Ahmadabad,Urban (L),Urban,1,25,Male,Yes,Gujarat_Ahmadabad,No,No,Yes,No,No,Automatically included,35613.2719921222,2,Vulnerable ST,Hindu,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
